C,penalty,class_weight,accuracy,precision,recall,f1,balanced_accuracy,roc_auc,pr_auc
1.0,l2,balanced,0.7135,0.1541,0.6901,0.2519,0.7027,0.7642,0.2188
0.1,l2,balanced,0.713,0.1534,0.6869,0.2507,0.701,0.7641,0.2183
0.01,l1,balanced,0.6979,0.1482,0.6997,0.2446,0.6987,0.7582,0.2118
0.01,l2,balanced,0.7086,0.1507,0.6837,0.247,0.6971,0.7613,0.2136
10.0,l1,balanced,0.7166,0.1531,0.6741,0.2496,0.697,0.7537,0.2203
0.001,l2,balanced,0.6869,0.1396,0.6741,0.2314,0.681,0.7453,0.1992
100.0,l2,balanced,0.659,0.1294,0.6773,0.2173,0.6675,0.7262,0.1702
0.1,l1,balanced,0.6862,0.1336,0.6358,0.2207,0.6629,0.7207,0.1767
10.0,l2,balanced,0.7492,0.1472,0.5399,0.2313,0.6524,0.7229,0.1799
100.0,l1,balanced,0.5208,0.1048,0.7764,0.1847,0.639,0.7056,0.1572
0.001,l1,balanced,0.4705,0.1012,0.8339,0.1804,0.6385,0.6385,0.096
1.0,l1,balanced,0.8171,0.1714,0.4217,0.2438,0.6343,0.7082,0.1584
1.0,l1,None,0.9308,0.7143,0.016,0.0312,0.5077,0.7666,0.2173
1.0,l2,None,0.9308,0.7143,0.016,0.0312,0.5077,0.7665,0.2172
10.0,l1,None,0.9308,0.7143,0.016,0.0312,0.5077,0.7665,0.2169
10.0,l2,None,0.9308,0.7143,0.016,0.0312,0.5077,0.7665,0.217
100.0,l1,None,0.9308,0.7143,0.016,0.0312,0.5077,0.7665,0.217
100.0,l2,None,0.9308,0.7143,0.016,0.0312,0.5077,0.7665,0.217
0.1,l2,None,0.9305,0.75,0.0096,0.0189,0.5047,0.7658,0.2173
0.1,l1,None,0.9301,0.5,0.0032,0.0063,0.5015,0.7663,0.2155
0.001,l1,None,0.9301,0.0,0.0,0.0,0.5,0.5,0.0699
0.01,l2,None,0.9301,0.0,0.0,0.0,0.5,0.7579,0.2111
0.01,l1,None,0.9301,0.0,0.0,0.0,0.5,0.7475,0.1809
0.001,l2,None,0.9301,0.0,0.0,0.0,0.5,0.7344,0.1868
