max_depth,n_estimators,learning_rate,scale_pos_weight,accuracy,precision,recall,f1,balanced_accuracy,roc_auc,pr_auc
5,300,0.01,13.32,0.7157,0.1542,0.6837,0.2516,0.7009,0.755,0.2026
3,300,0.01,13.32,0.7121,0.1529,0.6869,0.2501,0.7005,0.7607,0.206
3,200,0.01,13.32,0.7003,0.1488,0.6965,0.2452,0.6985,0.7582,0.2005
3,100,0.2,13.32,0.7213,0.1545,0.6677,0.2509,0.6965,0.7591,0.2099
3,200,0.1,13.32,0.7184,0.1535,0.6709,0.2499,0.6964,0.7596,0.2122
5,200,0.01,13.32,0.7146,0.1521,0.6741,0.2482,0.6959,0.7537,0.2015
3,100,0.1,13.32,0.7151,0.1508,0.6645,0.2459,0.6917,0.763,0.2142
5,100,0.01,13.32,0.7077,0.1483,0.6709,0.2429,0.6907,0.7493,0.191
3,100,0.01,13.32,0.734,0.1565,0.639,0.2514,0.6901,0.7502,0.1967
3,300,0.1,13.32,0.7191,0.1513,0.655,0.2458,0.6894,0.7568,0.2091
3,200,0.2,13.32,0.7267,0.152,0.6358,0.2454,0.6846,0.7552,0.209
7,300,0.01,13.32,0.747,0.1583,0.607,0.2512,0.6823,0.7429,0.1989
5,100,0.1,13.32,0.7302,0.1523,0.6262,0.245,0.6821,0.7503,0.2026
7,200,0.01,13.32,0.7351,0.1533,0.6166,0.2455,0.6803,0.7422,0.1896
7,100,0.01,13.32,0.7193,0.1472,0.6294,0.2386,0.6777,0.7338,0.1762
3,300,0.2,13.32,0.7289,0.1489,0.6102,0.2393,0.674,0.7474,0.1971
5,200,0.1,13.32,0.7432,0.1456,0.5495,0.2303,0.6536,0.7381,0.1852
5,300,0.1,13.32,0.7555,0.1471,0.5208,0.2294,0.6469,0.7247,0.1713
7,100,0.2,13.32,0.7923,0.1621,0.4728,0.2414,0.6446,0.7127,0.1651
7,100,0.1,13.32,0.7655,0.1494,0.5016,0.2302,0.6435,0.724,0.1847
5,100,0.2,13.32,0.7363,0.1347,0.5112,0.2132,0.6322,0.7279,0.1848
5,300,0.2,13.32,0.7794,0.1488,0.4569,0.2245,0.6302,0.6973,0.1542
5,200,0.2,13.32,0.7615,0.1401,0.4696,0.2159,0.6265,0.7101,0.1664
7,200,0.1,13.32,0.7872,0.1491,0.4345,0.222,0.6241,0.6992,0.1612
7,300,0.1,13.32,0.8021,0.1536,0.4058,0.2228,0.6188,0.683,0.1501
7,200,0.2,13.32,0.8106,0.1494,0.3642,0.2119,0.6042,0.685,0.1426
7,300,0.2,13.32,0.8251,0.1461,0.3099,0.1986,0.5869,0.6717,0.1318
7,300,0.2,1.0,0.9241,0.3043,0.0671,0.1099,0.5278,0.711,0.1571
7,200,0.2,1.0,0.9256,0.3214,0.0575,0.0976,0.5242,0.7222,0.1648
7,100,0.2,1.0,0.9279,0.3611,0.0415,0.0745,0.518,0.7407,0.1797
7,300,0.1,1.0,0.9254,0.2667,0.0383,0.067,0.5152,0.7317,0.1702
7,200,0.1,1.0,0.927,0.3056,0.0351,0.063,0.5146,0.7371,0.1744
5,300,0.2,1.0,0.925,0.2444,0.0351,0.0615,0.5135,0.7368,0.1718
7,100,0.1,1.0,0.9279,0.2727,0.0192,0.0358,0.5077,0.7468,0.1873
3,300,0.1,1.0,0.9299,0.4545,0.016,0.0309,0.5073,0.7655,0.2099
3,200,0.1,1.0,0.9297,0.4167,0.016,0.0308,0.5071,0.7671,0.2132
5,200,0.2,1.0,0.9265,0.2143,0.0192,0.0352,0.5069,0.7482,0.1827
5,300,0.1,1.0,0.9272,0.2174,0.016,0.0298,0.5058,0.7483,0.1882
3,100,0.2,1.0,0.9297,0.4,0.0128,0.0248,0.5057,0.7666,0.2088
3,300,0.2,1.0,0.9285,0.2667,0.0128,0.0244,0.5051,0.7585,0.1971
3,200,0.2,1.0,0.9283,0.25,0.0128,0.0243,0.5049,0.7627,0.2011
3,100,0.1,1.0,0.9303,0.6,0.0096,0.0189,0.5046,0.7656,0.2104
5,200,0.1,1.0,0.9274,0.2,0.0128,0.024,0.5045,0.754,0.1975
5,100,0.2,1.0,0.9274,0.2,0.0128,0.024,0.5045,0.7564,0.1928
5,100,0.1,1.0,0.9283,0.2143,0.0096,0.0183,0.5035,0.7615,0.2055
7,300,0.01,1.0,0.9299,0.4,0.0064,0.0126,0.5028,0.7554,0.1956
3,300,0.01,1.0,0.9303,1.0,0.0032,0.0064,0.5016,0.7614,0.1999
5,300,0.01,1.0,0.9301,0.5,0.0032,0.0063,0.5015,0.7627,0.2017
7,200,0.01,1.0,0.9301,0.0,0.0,0.0,0.5,0.7534,0.1923
7,100,0.01,1.0,0.9301,0.0,0.0,0.0,0.5,0.7481,0.194
5,100,0.01,1.0,0.9301,0.0,0.0,0.0,0.5,0.7528,0.1972
3,200,0.01,1.0,0.9301,0.0,0.0,0.0,0.5,0.758,0.1973
5,200,0.01,1.0,0.9301,0.0,0.0,0.0,0.5,0.7582,0.2
3,100,0.01,1.0,0.9301,0.0,0.0,0.0,0.5,0.7476,0.1828
