trial,C,penalty,class_weight,fit_time_sec,accuracy,precision,recall_under_engaged,f1,balanced_accuracy,roc_auc,pr_auc,specificity,tn,fp,fn,tp,priority_score
12,1.0,l2,balanced,0.04770574998110533,0.7295670743544943,0.19451697127937337,0.6520787746170679,0.2996480643539467,0.6945949902058497,0.7632792083380339,0.2513432600751633,0.7371112057946314,3460,1234,159,298,0.4877861862672848
10,1.0,l1,balanced,0.6285610829945654,0.7299553484760241,0.19477124183006536,0.6520787746170679,0.2999496728736789,0.6948080281265996,0.7633563588323098,0.250704976393521,0.7375372816361312,3462,1232,159,298,0.48771889273893315
8,0.5,l2,balanced,0.04537841700948775,0.7293729372937293,0.1943900848010437,0.6520787746170679,0.2994974874371859,0.6944884712454746,0.7633276896154038,0.25118227474647836,0.7368981678738815,3459,1235,159,298,0.4876998467077051
20,5.0,l2,balanced,0.046026250114664435,0.7297612114152592,0.1946440235140431,0.6520787746170679,0.29979879275653926,0.6947015091662245,0.7632642910219201,0.2506497715032443,0.7373242437153813,3461,1233,159,298,0.4876589376488798
18,5.0,l1,balanced,2.362919250037521,0.7297612114152592,0.1946440235140431,0.6520787746170679,0.29979879275653926,0.6947015091662245,0.7632768775073911,0.25058036176869075,0.7373242437153813,3461,1233,159,298,0.4876415852152414
16,2.0,l2,balanced,0.04392437497153878,0.7295670743544943,0.19451697127937337,0.6520787746170679,0.2996480643539467,0.6945949902058497,0.763276877507391,0.25064156724388525,0.7371112057946314,3460,1234,159,298,0.4876107630594653
14,2.0,l1,balanced,1.0235139159485698,0.7295670743544943,0.19451697127937337,0.6520787746170679,0.2996480643539467,0.6945949902058497,0.7633006519799475,0.25061190202101935,0.7371112057946314,3460,1234,159,298,0.48760334675374883
2,0.1,l1,balanced,0.26494733383879066,0.7284022519899048,0.19375812743823148,0.6520787746170679,0.2987468671679198,0.6939558764436,0.7635174192297258,0.24974503980057797,0.735832978270132,3454,1240,159,298,0.4871105246970957
6,0.5,l1,balanced,0.45489216689020395,0.7291788002329644,0.19386422976501305,0.649890590809628,0.2986425339366516,0.6933943793417547,0.763421155924179,0.25062548789812295,0.7368981678738815,3459,1235,160,297,0.48635027198697545
4,0.1,l2,balanced,0.04889491689391434,0.7291788002329644,0.1934640522875817,0.6477024070021882,0.29793658782083543,0.6924068063984098,0.7634414341507711,0.2512775389845351,0.7371112057946314,3460,1234,161,296,0.48534868607093756
9,1.0,l1,None,0.5316071659326553,0.9105028149873811,0.4666666666666667,0.061269146608315096,0.10831721470019343,0.5272259665721593,0.7603889783409894,0.2486756920293741,0.9931827865360034,4662,32,429,28,0.18742391957653215
13,2.0,l1,None,1.0570727500598878,0.9105028149873811,0.4666666666666667,0.061269146608315096,0.10831721470019343,0.5272259665721593,0.7601997148927957,0.2484625098219749,0.9931827865360034,4662,32,429,28,0.18737062402468235
17,5.0,l1,None,0.6214037919417024,0.9105028149873811,0.4666666666666667,0.061269146608315096,0.10831721470019343,0.5272259665721593,0.760113474159013,0.24839479330367945,0.9931827865360034,4662,32,429,28,0.18735369489510847
7,0.5,l2,None,0.03684837487526238,0.9105028149873811,0.4666666666666667,0.061269146608315096,0.10831721470019343,0.5272259665721593,0.7602136998766524,0.2483158331000164,0.9931827865360034,4662,32,429,28,0.1873339548441927
15,2.0,l2,None,0.03759975009597838,0.9105028149873811,0.4666666666666667,0.061269146608315096,0.10831721470019343,0.5272259665721593,0.7600887673541995,0.2482931274282444,0.9931827865360034,4662,32,429,28,0.18732827842624972
11,1.0,l2,None,0.04186312481760979,0.9105028149873811,0.4666666666666667,0.061269146608315096,0.10831721470019343,0.5272259665721593,0.7601288576412555,0.24825918332901095,0.9931827865360034,4662,32,429,28,0.18731979240144137
19,5.0,l2,None,0.039849957916885614,0.9105028149873811,0.4666666666666667,0.061269146608315096,0.10831721470019343,0.5272259665721593,0.7600402860768298,0.2482545687599108,0.9931827865360034,4662,32,429,28,0.18731863875916632
5,0.5,l1,None,0.3092570418957621,0.9108910891089109,0.48214285714285715,0.05908096280087528,0.10526315789473684,0.5264514315495642,0.7607894150454186,0.2488565154602842,0.9938219002982531,4665,29,430,27,0.18586686029680316
3,0.1,l2,None,0.03720970777794719,0.9110852261696758,0.49056603773584906,0.05689277899343545,0.10196078431372549,0.5255703775665942,0.7606877908293934,0.24899268624440657,0.9942479761397529,4667,27,431,26,0.18423299665621007
1,0.1,l1,None,0.13777283392846584,0.9106969520481459,0.46511627906976744,0.0437636761487965,0.08,0.5194319019857745,0.7599433235220903,0.2500392541935558,0.9951001278227525,4671,23,437,20,0.17393006930577373
