trial,C,penalty,recall,precision,f1,pr_auc,roc_auc,balanced_accuracy
5,1.0,l1,0.6520787746170679,0.19477124183006536,0.2999496728736789,0.2507061808162201,0.7633591558290811,0.6948080281265996
10,10.0,l2,0.6520787746170679,0.1946440235140431,0.29979879275653926,0.25065549755039207,0.7632661556864343,0.6947015091662245
7,3.0,l1,0.6520787746170679,0.1946440235140431,0.29979879275653926,0.25065205756074144,0.7632950579864046,0.6947015091662245
8,3.0,l2,0.6520787746170679,0.1946440235140431,0.29979879275653926,0.2506234221140822,0.7632610278590202,0.6947015091662245
6,1.0,l2,0.6520787746170679,0.19451697127937337,0.2996480643539467,0.2513432600751633,0.7632792083380339,0.6945949902058497
9,10.0,l1,0.6520787746170679,0.19451697127937337,0.2996480643539467,0.2506628687471094,0.7632666218525629,0.6945949902058497
3,0.1,l1,0.6520787746170679,0.19375812743823148,0.2987468671679198,0.24975356506704524,0.7635230132232684,0.6939558764436
4,0.1,l2,0.6477024070021882,0.1934640522875817,0.29793658782083543,0.25127802288816276,0.7634428326491568,0.6924068063984098
2,0.01,l2,0.6455142231947484,0.19293655984303465,0.297079556898288,0.25093502079495256,0.7637519007923892,0.6913127144946899
1,0.01,l1,0.6301969365426696,0.19618528610354224,0.2992207792207792,0.2332127312050226,0.7591764802406162,0.6894060950288976
