trial,n_estimators,max_depth,learning_rate,subsample,model,threshold,roc_auc,pr_auc,precision_under,recall_under,f1_under,f2_under,balanced_accuracy
12,400,3,0.1,1.0,candidate,0.1,0.691536008070268,0.19717955559586592,0.1595873786407767,0.5754923413566739,0.2498812351543943,0.3783084004602992,0.6402174105590357
11,400,3,0.1,0.8,candidate,0.1,0.6957338340579109,0.2020748294224887,0.16007416563658838,0.5667396061269147,0.24963855421686748,0.3757980266976204,0.6386105359139047
5,200,5,0.05,0.8,candidate,0.1,0.6933009130329794,0.1948719448778774,0.1591610117211598,0.5645514223194749,0.24831568816169394,0.3740214554943462,0.637090368168685
1,200,3,0.05,0.8,candidate,0.1,0.6936032217673478,0.2006564147228874,0.15638106650689035,0.5711159737417943,0.24553151458137348,0.3731770088647412,0.6355792906629721
10,200,3,0.1,1.0,candidate,0.1,0.6891767412936483,0.19456573275866698,0.15621156211562115,0.5557986870897156,0.24387902064330294,0.36768963520555875,0.6317553299104308
6,200,5,0.05,1.0,candidate,0.1,0.6889138235971429,0.19117683827960932,0.15473300970873785,0.5579868708971554,0.24228028503562946,0.366800920598389,0.630612523646277
3,400,3,0.05,0.8,candidate,0.1,0.6954462095565921,0.20170986368962893,0.1549725442342892,0.5557986870897156,0.24236641221374045,0.36631093164118833,0.6303705834255566
4,400,3,0.05,1.0,candidate,0.1,0.6912469850705636,0.19637977169401954,0.15389257694628847,0.5579868708971554,0.2412488174077578,0.36585365853658536,0.6296538530029023
9,200,3,0.1,0.8,candidate,0.1,0.6934132590699613,0.19888464372354733,0.15518311607697083,0.5470459518599562,0.24177949709864605,0.36347775516138414,0.6285506708596755
2,200,3,0.05,1.0,candidate,0.1,0.6877125134838553,0.19386515886510877,0.15067686874632136,0.5601750547045952,0.23747680890538034,0.3629146583498724,0.6263806675312494
8,400,5,0.05,1.0,candidate,0.1,0.6892792978419305,0.18806196715663753,0.15427509293680297,0.5448577680525164,0.2404635441815548,0.36170830912260316,0.6270305031144559
13,200,5,0.1,0.8,candidate,0.1,0.6885651313329832,0.19109208441397726,0.15691318327974277,0.5339168490153173,0.24254473161033796,0.3606266627253917,0.6273120674561035
14,200,5,0.1,1.0,candidate,0.1,0.6885586050071837,0.19267509601523455,0.15346534653465346,0.5426695842450766,0.2392667631452002,0.3600464576074332,0.6256168543296112
7,400,5,0.05,0.8,candidate,0.1,0.6925424607418195,0.19341258799065766,0.15408608858390518,0.5404814004376368,0.23980582524271846,0.35995336636549113,0.6258009899503907
15,400,5,0.1,0.8,candidate,0.1,0.6838922820603425,0.18662825255119933,0.15796519410977242,0.5164113785557987,0.24192721681189133,0.35520770620108366,0.6242048371262163
16,400,5,0.1,1.0,candidate,0.1,0.6829394384935749,0.18466553579832168,0.15494791666666666,0.5207877461706784,0.23883592574009033,0.35374554102259215,0.6221322625186583
